äa	f. poss. pron. her; {dit es äa Rock - this is her dress}. 	https://ereimer.net/plautdietsch/pddefns.htm#%C3%A4a	äa	Ehr	http://example.org/lexicon#S%C4%93_Ehr
_	_	_	eare	Ēhr	http://example.org/lexicon#%C4%92hr
_	_	_	eare	Ēēr	http://example.org/lexicon#%C4%92%C4%93r
_	_	_	eare	ēhr	http://example.org/lexicon#%C4%93hr
_	_	_	eare	ēhr	http://example.org/lexicon#al_%C4%93hr
_	_	_	eare	ēhren	http://example.org/lexicon#%C4%93%C4%93n_%C4%93hren
_	_	_	eare	ēhren	http://example.org/lexicon#wat_%C4%93hren
earemol	often, freqently. 	https://ereimer.net/plautdietsch/pddefns.htm#earemol	earemol	_
Earentäkjen	n. sign of honour. 	https://ereimer.net/plautdietsch/pddefns.htm#Earent%C3%A4kjen	Earentäkjen	_
eascht	first, primary. 	https://ereimer.net/plautdietsch/pddefns.htm#eascht	eascht	_
easchta	m. the first one. 	https://ereimer.net/plautdietsch/pddefns.htm#easchta	easchta	_
easchte	f. the first one. also refers to winner, champion, premier, soonest. 	https://ereimer.net/plautdietsch/pddefns.htm#easchte	easchte	_
easchte Silb	f. prefix. first syllable. 	https://ereimer.net/plautdietsch/pddefns.htm#easchte%20Silb	easchte	_
_	_	_	Silb	_
eed	barren, desolate. 	https://ereimer.net/plautdietsch/pddefns.htm#eed	eed	Ēēd	http://example.org/lexicon#%C4%92%C4%93d
Eed	bareness, desert, desolation. 	https://ereimer.net/plautdietsch/pddefns.htm#Eed	Eed	Ēēd	http://example.org/lexicon#%C4%92%C4%93d
Eedzh	f. a deep trough or manger for feeding cattle located on the floor of the barn. 	https://ereimer.net/plautdietsch/pddefns.htm#Eedzh	Eedzh	_
Eefelt	m. (pl: s) simpleton, half-wit, idiot. 	https://ereimer.net/plautdietsch/pddefns.htm#Eefelt	Eefelt	Filt	http://example.org/lexicon#Filt
eefeltijch	dull, idiotic, acting halfwittedly. 	https://ereimer.net/plautdietsch/pddefns.htm#eefeltijch	eefeltijch	_
Eefeltspensel	m. nincompoop. 	https://ereimer.net/plautdietsch/pddefns.htm#Eefeltspensel	Eefeltspensel	_
eegol	continually. 	https://ereimer.net/plautdietsch/pddefns.htm#eegol	eegol	Gool	http://example.org/lexicon#Gool
_	_	_	eegol	Gâll	http://example.org/lexicon#G%C3%A2ll
_	_	_	eegol	egool	http://example.org/lexicon#egool
_	_	_	eegol	egool	http://example.org/lexicon#egool_as_man_wat
_	_	_	eegol	egool	http://example.org/lexicon#egool_dick
_	_	_	eegol	egool	http://example.org/lexicon#s%C5%8Dwat_vun_egool
Eelefaunt	m. (pl: e) elephant. 	https://ereimer.net/plautdietsch/pddefns.htm#Eelefaunt	Eelefaunt	Levant	http://example.org/lexicon#Levant
Eelj	f. oil. 	https://ereimer.net/plautdietsch/pddefns.htm#Eelj	Eelj	_
Eeljbilt	n. oil painting. 	https://ereimer.net/plautdietsch/pddefns.htm#Eeljbilt	Eeljbilt	_
Eeljboom	m. olive tree. 	https://ereimer.net/plautdietsch/pddefns.htm#Eeljboom	Eeljboom	_
eelje	to oil, lubricate. 	https://ereimer.net/plautdietsch/pddefns.htm#eelje	eelje	liggen	http://example.org/lexicon#achter_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#an_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#f%C3%B6r%E2%80%99n_Greep_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#in%E2%80%99e_Bl%C4%93%C4%93k_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#in%E2%80%99e_Puuch_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#in%E2%80%99e_Roos_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#in%E2%80%99t_Ruus_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#in_Suur_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#in_Wegen_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#liggen
_	_	_	eelje	liggen	http://example.org/lexicon#nix_an_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#op%E2%80%99e_Siet_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#op%E2%80%99e_Stroot_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#op%E2%80%99n_Disch_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#op%E2%80%99t_Letzt_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#op_de_Luur_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#open_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#sik_in%E2%80%99e_Hoor_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#swoor_%E2%80%A6_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#t%C5%8D_liggen_komen
_	_	_	eelje	liggen	http://example.org/lexicon#w%C8%AB%C8%ABst_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#wat_an_liggen
_	_	_	eelje	liggen	http://example.org/lexicon#wat_op%E2%80%99e_Moo%C4%9F_liggen
eeljijch	oily. 	https://ereimer.net/plautdietsch/pddefns.htm#eeljijch	eeljijch	_
Eemskje	f. ant, emmet. 	https://ereimer.net/plautdietsch/pddefns.htm#Eemskje	Eemskje	_
Eemskjefräta	m. ant eater. 	https://ereimer.net/plautdietsch/pddefns.htm#Eemskjefr%C3%A4ta	Eemskjefräta	_
Eemskjeklompe	m. ant hill. 	https://ereimer.net/plautdietsch/pddefns.htm#Eemskjeklompe	Eemskjeklompe	_
Eemskjesüastoff	formic acid. 	https://ereimer.net/plautdietsch/pddefns.htm#Eemskjes%C3%BCastoff	Eemskjesüastoff	_
een	n. indefinite article a, an, one; en is often substituted for een (en Maun). 	https://ereimer.net/plautdietsch/pddefns.htm#een	een	in	http://example.org/lexicon#in_
_	_	_	een	in	http://example.org/lexicon#in_%E2%80%A6
_	_	_	een	Ēēn	http://example.org/lexicon#%C4%97n_%C4%92%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#%28man%29_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%28sik%29_%C4%93%C4%93n%7Cwat
_	_	_	een	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n_%E2%80%A6
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n%7Cwat
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_bi_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_wat
_	_	_	een	ēēn	http://example.org/lexicon#as_man_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#d%C4%97n_%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#de%7Cdat_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#in_%C4%93%C4%93n_t%C5%8D
_	_	_	een	ēēn	http://example.org/lexicon#man_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_%C5%8C%C5%8D%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_wat
_	_	_	een	ēēn	http://example.org/lexicon#ni_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#wat_f%C3%B6r_%C4%93%C4%93n
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%96nn_%28ni_s%C4%93hn%7Cvun_we%C7%A7%29
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%97n_%C4%96nn_vun_af
_	_	_	een	Ėnn	http://example.org/lexicon#an%E2%80%99_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#dat%7Cde_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#in%E2%80%99_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#t%C5%8D_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#um_dat_%C4%96nn_vun
_	_	_	een	ėn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%97n
_	_	_	een	ėn	http://example.org/lexicon#%28f%C3%B6r%7Cop%29_%C4%97n
_	_	_	een	ėn	http://example.org/lexicon#%C4%97n
een eensja	m. one single one. 	https://ereimer.net/plautdietsch/pddefns.htm#een%20eensja	een	in	http://example.org/lexicon#in_
_	_	_	een	in	http://example.org/lexicon#in_%E2%80%A6
_	_	_	een	Ēēn	http://example.org/lexicon#%C4%97n_%C4%92%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#%28man%29_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%28sik%29_%C4%93%C4%93n%7Cwat
_	_	_	een	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n_%E2%80%A6
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n%7Cwat
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_bi_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_wat
_	_	_	een	ēēn	http://example.org/lexicon#as_man_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#d%C4%97n_%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#de%7Cdat_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#in_%C4%93%C4%93n_t%C5%8D
_	_	_	een	ēēn	http://example.org/lexicon#man_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_%C5%8C%C5%8D%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_wat
_	_	_	een	ēēn	http://example.org/lexicon#ni_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#wat_f%C3%B6r_%C4%93%C4%93n
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%96nn_%28ni_s%C4%93hn%7Cvun_we%C7%A7%29
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%97n_%C4%96nn_vun_af
_	_	_	een	Ėnn	http://example.org/lexicon#an%E2%80%99_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#dat%7Cde_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#in%E2%80%99_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#t%C5%8D_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#um_dat_%C4%96nn_vun
_	_	_	een	ėn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%97n
_	_	_	een	ėn	http://example.org/lexicon#%28f%C3%B6r%7Cop%29_%C4%97n
_	_	_	een	ėn	http://example.org/lexicon#%C4%97n
_	_	_	eensja	_
een eensjet	n. one single thing. 	https://ereimer.net/plautdietsch/pddefns.htm#een%20eensjet	een	in	http://example.org/lexicon#in_
_	_	_	een	in	http://example.org/lexicon#in_%E2%80%A6
_	_	_	een	Ēēn	http://example.org/lexicon#%C4%97n_%C4%92%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#%28man%29_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%28sik%29_%C4%93%C4%93n%7Cwat
_	_	_	een	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n_%E2%80%A6
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n%7Cwat
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_bi_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_wat
_	_	_	een	ēēn	http://example.org/lexicon#as_man_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#d%C4%97n_%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#de%7Cdat_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#in_%C4%93%C4%93n_t%C5%8D
_	_	_	een	ēēn	http://example.org/lexicon#man_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_%C5%8C%C5%8D%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_wat
_	_	_	een	ēēn	http://example.org/lexicon#ni_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#wat_f%C3%B6r_%C4%93%C4%93n
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%96nn_%28ni_s%C4%93hn%7Cvun_we%C7%A7%29
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%97n_%C4%96nn_vun_af
_	_	_	een	Ėnn	http://example.org/lexicon#an%E2%80%99_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#dat%7Cde_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#in%E2%80%99_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#t%C5%8D_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#um_dat_%C4%96nn_vun
_	_	_	een	ėn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%97n
_	_	_	een	ėn	http://example.org/lexicon#%28f%C3%B6r%7Cop%29_%C4%97n
_	_	_	een	ėn	http://example.org/lexicon#%C4%97n
_	_	_	eensjet	_
een mol	once, one time. 	https://ereimer.net/plautdietsch/pddefns.htm#een%20mol	een	in	http://example.org/lexicon#in_
_	_	_	een	in	http://example.org/lexicon#in_%E2%80%A6
_	_	_	een	Ēēn	http://example.org/lexicon#%C4%97n_%C4%92%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#%28man%29_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%28sik%29_%C4%93%C4%93n%7Cwat
_	_	_	een	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n_%E2%80%A6
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n%7Cwat
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_bi_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#%C4%93%C4%93n_wat
_	_	_	een	ēēn	http://example.org/lexicon#as_man_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#d%C4%97n_%C4%93%C4%93n_Da%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#de%7Cdat_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#in_%C4%93%C4%93n_t%C5%8D
_	_	_	een	ēēn	http://example.org/lexicon#man_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_%C5%8C%C5%8D%C4%9F
_	_	_	een	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_wat
_	_	_	een	ēēn	http://example.org/lexicon#ni_%C4%93%C4%93n
_	_	_	een	ēēn	http://example.org/lexicon#wat_f%C3%B6r_%C4%93%C4%93n
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%96nn_%28ni_s%C4%93hn%7Cvun_we%C7%A7%29
_	_	_	een	Ėnn	http://example.org/lexicon#%C4%97n_%C4%96nn_vun_af
_	_	_	een	Ėnn	http://example.org/lexicon#an%E2%80%99_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#dat%7Cde_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#in%E2%80%99_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#t%C5%8D_%C4%96nn
_	_	_	een	Ėnn	http://example.org/lexicon#um_dat_%C4%96nn_vun
_	_	_	een	ėn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%97n
_	_	_	een	ėn	http://example.org/lexicon#%28f%C3%B6r%7Cop%29_%C4%97n
_	_	_	een	ėn	http://example.org/lexicon#%C4%97n
_	_	_	mol	Mool	http://example.org/lexicon#%C4%93%C4%93n_f%C3%B6r_alle_Mool
_	_	_	mol	Mool	http://example.org/lexicon#%C4%97n_poor_Mool
_	_	_	mol	Mool	http://example.org/lexicon#dat_Mool
_	_	_	mol	Mool	http://example.org/lexicon#dit_Mool
_	_	_	mol	Mool	http://example.org/lexicon#mit_%C4%97n_Mool%7Cmit_%C4%93%C4%93n_Mool
_	_	_	mol	Mool	http://example.org/lexicon#op_%C4%93%C4%93n_Mool
_	_	_	mol	Mool	http://example.org/lexicon#op_%C4%97n_Mool
_	_	_	mol	Mool	http://example.org/lexicon#s%C5%8D_veel_Mool
_	_	_	mol	Mool	http://example.org/lexicon#wo_veel_Mool
_	_	_	mol	Mull	http://example.org/lexicon#Mull
_	_	_	mol	Mull	http://example.org/lexicon#dat_Mull
_	_	_	mol	Mōōl	http://example.org/lexicon#M%C5%8D%C5%8Dl
_	_	_	mol	mool	http://example.org/lexicon#%28noch%29_mool
_	_	_	mol	mool	http://example.org/lexicon#Kiek_mool_an
_	_	_	mol	mool	http://example.org/lexicon#al_mool
_	_	_	mol	mool	http://example.org/lexicon#al_mool_%E2%80%A6_un_d%C4%97nn
_	_	_	mol	mool	http://example.org/lexicon#e%E1%B8%83en_mool
_	_	_	mol	mool	http://example.org/lexicon#j%C3%BCst_mool
_	_	_	mol	mool	http://example.org/lexicon#mool
_	_	_	mol	mool	http://example.org/lexicon#mool_%E2%80%A6%2C_mool_%E2%80%A6
_	_	_	mol	mool	http://example.org/lexicon#mool_%E2%80%A6_mit
_	_	_	mol	mool	http://example.org/lexicon#mool_e%E1%B8%83en
_	_	_	mol	mool	http://example.org/lexicon#mool_lang%28s%29_gohn
_	_	_	mol	mool	http://example.org/lexicon#mool_s%C5%8D_un_mool_s%C5%8D
_	_	_	mol	mool	http://example.org/lexicon#ni_mool
_	_	_	mol	mool	http://example.org/lexicon#ni_mool_m%C4%93hr
_	_	_	mol	mâll	http://example.org/lexicon#m%C3%A2ll
_	_	_	mol	mâll	http://example.org/lexicon#m%C3%A2ll_ween
eena	m. one, a, an. 	https://ereimer.net/plautdietsch/pddefns.htm#eena	eena	na	http://example.org/lexicon#na
_	_	_	eena	nä	http://example.org/lexicon#Och_n%C3%A4%2C_%E2%80%A6
_	_	_	eena	nä	http://example.org/lexicon#n%C3%A4
_	_	_	eena	nä	http://example.org/lexicon#n%C3%A4%2C_%E2%80%A6
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_Dack_un_Fack
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_Nacht_un_Da%C4%9F
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_Seils
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_d%C4%97n
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_dat
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de_Deek_h%C5%8Dlen
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de_F%C8%AB%C8%ABt_komen
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de_F%C8%AB%C8%ABt_stohn
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de_K%C3%BCst
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_un_%C3%B6ver
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_un_%C3%B6ver_vull
_	_	_	eena	ünner	http://example.org/lexicon#Grund_%C3%BCnner_de_F%C8%AB%C8%ABt
_	_	_	eena	ünner	http://example.org/lexicon#dor_%E2%80%A6_%C3%BCnner
_	_	_	eena	ünner	http://example.org/lexicon#vun%E2%80%99_Regen_%C3%BCnner_de_Leck_komen
eena no'm aundra	one after another. 	https://ereimer.net/plautdietsch/pddefns.htm#eena%20no%27m%20aundra	eena	na	http://example.org/lexicon#na
_	_	_	eena	nä	http://example.org/lexicon#Och_n%C3%A4%2C_%E2%80%A6
_	_	_	eena	nä	http://example.org/lexicon#n%C3%A4
_	_	_	eena	nä	http://example.org/lexicon#n%C3%A4%2C_%E2%80%A6
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_Dack_un_Fack
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_Nacht_un_Da%C4%9F
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_Seils
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_d%C4%97n
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_dat
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de_Deek_h%C5%8Dlen
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de_F%C8%AB%C8%ABt_komen
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de_F%C8%AB%C8%ABt_stohn
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_de_K%C3%BCst
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_un_%C3%B6ver
_	_	_	eena	ünner	http://example.org/lexicon#%C3%BCnner_un_%C3%B6ver_vull
_	_	_	eena	ünner	http://example.org/lexicon#Grund_%C3%BCnner_de_F%C8%AB%C8%ABt
_	_	_	eena	ünner	http://example.org/lexicon#dor_%E2%80%A6_%C3%BCnner
_	_	_	eena	ünner	http://example.org/lexicon#vun%E2%80%99_Regen_%C3%BCnner_de_Leck_komen
_	_	_	no'm	_
_	_	_	aundra	_
eenatlei	of one kind, one thing. 	https://ereimer.net/plautdietsch/pddefns.htm#eenatlei	eenatlei	_
eendoont	not caring, uncaring, carefree, spiritless, lackadaisical. 	https://ereimer.net/plautdietsch/pddefns.htm#eendoont	eendoont	_
eendoontijch	complacent, not motivated. 	https://ereimer.net/plautdietsch/pddefns.htm#eendoontijch	eendoontijch	_
eendrajchtijch	incessantly, steadily, relentlessly, continually, regularly. 	https://ereimer.net/plautdietsch/pddefns.htm#eendrajchtijch	eendrajchtijch	_
eene	f. one, a, an. 	https://ereimer.net/plautdietsch/pddefns.htm#eene	eene	in	http://example.org/lexicon#in_
_	_	_	eene	in	http://example.org/lexicon#in_%E2%80%A6
_	_	_	eene	nä	http://example.org/lexicon#Och_n%C3%A4%2C_%E2%80%A6
_	_	_	eene	nä	http://example.org/lexicon#n%C3%A4
_	_	_	eene	nä	http://example.org/lexicon#n%C3%A4%2C_%E2%80%A6
_	_	_	eene	ünnen	http://example.org/lexicon#%C3%BCnnen
_	_	_	eene	ünnen	http://example.org/lexicon#no_%C3%BCnnen
_	_	_	eene	Ēēn	http://example.org/lexicon#%C4%97n_%C4%92%C4%93n
_	_	_	eene	ēēn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%93%C4%93n_Da%C4%9F
_	_	_	eene	ēēn	http://example.org/lexicon#%28man%29_%C4%93%C4%93n
_	_	_	eene	ēēn	http://example.org/lexicon#%28sik%29_%C4%93%C4%93n%7Cwat
_	_	_	eene	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n
_	_	_	eene	ēēn	http://example.org/lexicon#%C3%A2ll_%C4%93%C4%93n_%E2%80%A6
_	_	_	eene	ēēn	http://example.org/lexicon#%C4%93%C4%93n
_	_	_	eene	ēēn	http://example.org/lexicon#%C4%93%C4%93n%7Cwat
_	_	_	eene	ēēn	http://example.org/lexicon#%C4%93%C4%93n_Da%C4%9F
_	_	_	eene	ēēn	http://example.org/lexicon#%C4%93%C4%93n_bi_%C4%93%C4%93n
_	_	_	eene	ēēn	http://example.org/lexicon#%C4%93%C4%93n_wat
_	_	_	eene	ēēn	http://example.org/lexicon#as_man_%C4%93%C4%93n
_	_	_	eene	ēēn	http://example.org/lexicon#d%C4%97n_%C4%93%C4%93n_Da%C4%9F
_	_	_	eene	ēēn	http://example.org/lexicon#de%7Cdat_%C4%93%C4%93n
_	_	_	eene	ēēn	http://example.org/lexicon#in_%C4%93%C4%93n_t%C5%8D
_	_	_	eene	ēēn	http://example.org/lexicon#man_%C4%93%C4%93n
_	_	_	eene	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_%C5%8C%C5%8D%C4%9F
_	_	_	eene	ēēn	http://example.org/lexicon#mit_%C4%93%C4%93n_wat
_	_	_	eene	ēēn	http://example.org/lexicon#ni_%C4%93%C4%93n
_	_	_	eene	ēēn	http://example.org/lexicon#wat_f%C3%B6r_%C4%93%C4%93n
_	_	_	eene	Ėnn	http://example.org/lexicon#%C4%96nn
_	_	_	eene	Ėnn	http://example.org/lexicon#%C4%96nn_%28ni_s%C4%93hn%7Cvun_we%C7%A7%29
_	_	_	eene	Ėnn	http://example.org/lexicon#%C4%97n_%C4%96nn_vun_af
_	_	_	eene	Ėnn	http://example.org/lexicon#an%E2%80%99_%C4%96nn
_	_	_	eene	Ėnn	http://example.org/lexicon#dat%7Cde_%C4%96nn
_	_	_	eene	Ėnn	http://example.org/lexicon#in%E2%80%99_%C4%96nn
_	_	_	eene	Ėnn	http://example.org/lexicon#t%C5%8D_%C4%96nn
_	_	_	eene	Ėnn	http://example.org/lexicon#um_dat_%C4%96nn_vun
_	_	_	eene	ėn	http://example.org/lexicon#%28f%C3%B6r%29_%C4%97n
_	_	_	eene	ėn	http://example.org/lexicon#%28f%C3%B6r%7Cop%29_%C4%97n
_	_	_	eene	ėn	http://example.org/lexicon#%C4%97n
_	_	_	eene	ėnnen	http://example.org/lexicon#%C4%97nnen
eene eensje	f. one single one. 	https://ereimer.net/plautdietsch/pddefns.htm#eene%20eensje	eene	in	http://example.org/lexicon#in_
_	_	_	eene	in	http://example.org/lexicon#in_%E2%80%A6
_	_	_	eene	nä	http://example.org/lexicon#Och_n%C3%A4%2C_%E2%80%A6
_	_	_	eene	nä	http://example.org/lexicon#n%C3%A4
_	_	_	eene	nä	http://example.org/lexicon#n%C3%A4%2C_%E2%80%A6
_	_	_	eene	ünnen	http://example.org/lexicon#%C3%BCnnen
_	_	_	eene	ünnen	http://example.org/lexicon#no_%C3%BCnnen
_	_	_	eene	Ēēn	http://example.org/lexicon#%C4%97n_%C4%92%C4%93n
